date,value
2020-01-01,-0.2
2020-02-01,0.2999999999999999
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.1
2020-07-01,0.4
2020-08-01,-0.2999999999999999
2020-09-01,0.4
2020-10-01,0.0
2020-11-01,-0.1
2020-12-01,0.2
2021-01-01,-0.1
2021-02-01,0.1
2021-03-01,0.2
2021-04-01,0.6999999999999998
2021-05-01,0.5
2021-06-01,0.4
2021-07-01,0.0
2021-08-01,0.5999999999999999
2021-09-01,0.2999999999999999
2021-10-01,0.9
2021-11-01,0.5999999999999999
2021-12-01,0.5
2022-01-01,0.0
2022-02-01,0.6999999999999998
2022-03-01,0.9
2022-04-01,2.1
2022-05-01,0.5999999999999999
2022-06-01,0.6999999999999998
2022-07-01,0.5999999999999999
2022-08-01,0.5
2022-09-01,0.4
2022-10-01,1.6
2022-11-01,0.4
2022-12-01,0.4
2023-01-01,-0.4
2023-02-01,1.0
2023-03-01,0.6999999999999998
2023-04-01,1.2
2023-05-01,0.5999999999999999
2023-06-01,0.2
2023-07-01,-0.2999999999999999
2023-08-01,0.4
2023-09-01,0.5
2023-10-01,0.1
2023-11-01,-0.1
2023-12-01,0.4
2024-01-01,-0.4
2024-02-01,0.5999999999999999
